model_name,validation_MAE,validation_RMSE,validation_MAPE,validation_R2,validation_MedianAbsoluteError,validation_DirectionalAccuracy,test_MAE,test_RMSE,test_MAPE,test_R2,test_MedianAbsoluteError,test_DirectionalAccuracy
last_price,0.22416071428571427,0.29887167704005463,6.775061668470557,0.9462996450659491,0.1778571428571425,0.54375,0.2598293743726999,0.32932505539958784,7.202636672508874,0.9550665022030899,0.21714285714285753,0.5409836065573771
rolling_mean_7,0.22210491071428576,0.2758976710167177,6.9244833747458685,0.954238136222155,0.19642857142857184,0.1125,0.2878721980595517,0.3495989604671054,8.275325331571398,0.9493638188194181,0.25571428571428534,0.08430913348946135
rolling_mean_30,0.2223604910714286,0.29243798198925697,6.78570887680335,0.9485867341466905,0.18350000000000044,0.5171875,0.2764013605442177,0.34801002137443143,7.512413278992873,0.9498230591211986,0.23316666666666652,0.5749414519906323
